Datetime,Y,O,return_y,return_0,diff
2014/01/27-09:40,6720,6928,0.000297708,0,0.000297708
2014/01/27-09:45,6718,6930,-0.000297619,0.000288684,-0.000586303
2014/01/27-09:50,6704,6924,-0.002083954,-0.000865801,-0.001218153
2014/01/27-09:55,6702,6924,-0.000298329,0,-0.000298329
2014/01/27-10:00,6700,6932,-0.000298418,0.001155402,-0.00145382
2014/01/27-10:05,6700,6918,0,-0.002019619,0.002019619
2014/01/27-10:10,6702,6930,0.000298507,0.001734605,-0.001436098
2014/01/27-10:15,6706,6932,0.000596837,0.0002886,0.000308236
2014/01/27-10:35,6702,6924,-0.000596481,-0.001154068,0.000557587
2014/01/27-10:40,6702,6932,0,0.001155402,-0.001155402
2014/01/27-10:45,6704,6928,0.000298418,-0.000577034,0.000875452
2014/01/27-10:50,6702,6930,-0.000298329,0.000288684,-0.000587013
2014/01/27-10:55,6700,6928,-0.000298418,-0.0002886,-9.82E-06
2014/01/27-11:00,6680,6914,-0.002985075,-0.002020785,-0.000964289
2014/01/27-11:05,6688,6916,0.001197605,0.000289268,0.000908337
2014/01/27-11:10,6698,6924,0.001495215,0.001156738,0.000338477
2014/01/27-11:15,6696,6924,-0.000298597,0,-0.000298597
2014/01/27-11:20,6696,6922,0,-0.00028885,0.00028885
2014/01/27-11:25,6692,6922,-0.000597372,0,-0.000597372
2014/01/27-11:30,6698,6924,0.000896593,0.000288934,0.000607659
2014/01/27-13:35,6696,6922,-0.000298597,-0.00028885,-9.75E-06
2014/01/27-13:40,6696,6920,0,-0.000288934,0.000288934
2014/01/27-13:45,6696,6922,0,0.000289017,-0.000289017
2014/01/27-13:50,6696,6922,0,0,0
2014/01/27-13:55,6694,6922,-0.000298686,0,-0.000298686
2014/01/27-14:00,6694,6924,0,0.000288934,-0.000288934
2014/01/27-14:05,6694,6918,0,-0.000866551,0.000866551
2014/01/27-14:10,6692,6928,-0.000298775,0.001445504,-0.00174428
2014/01/27-14:15,6686,6918,-0.000896593,-0.001443418,0.000546825
2014/01/27-14:20,6688,6918,0.000299133,0,0.000299133
2014/01/27-14:25,6690,6918,0.000299043,0,0.000299043
2014/01/27-14:30,6688,6922,-0.000298954,0.000578202,-0.000877155
2014/01/27-14:35,6684,6922,-0.000598086,0,-0.000598086
2014/01/27-14:40,6682,6902,-0.000299222,-0.002889338,0.002590116
2014/01/27-14:45,6690,6910,0.001197246,0.001159084,3.82E-05
2014/01/27-14:50,6690,6912,0,0.000289436,-0.000289436
2014/01/27-14:55,6690,6910,0,-0.000289352,0.000289352
2014/01/27-15:00,6678,6898,-0.001793722,-0.001736614,-5.71E-05
2014/01/28-09:05,6656,6876,-0.0032944,-0.00318933,-0.000105069
2014/01/28-09:10,6650,6870,-0.000901442,-0.0008726,-2.88E-05
2014/01/28-09:15,6648,6866,-0.000300752,-0.000582242,0.00028149
2014/01/28-09:20,6638,6862,-0.001504212,-0.000582581,-0.000921631
2014/01/28-09:25,6636,6858,-0.000301296,-0.00058292,0.000281625
2014/01/28-09:30,6626,6830,-0.001506932,-0.004082823,0.002575891
2014/01/28-09:35,6626,6830,0,0,0
2014/01/28-09:40,6620,6828,-0.000905524,-0.000292826,-0.000612698
2014/01/28-09:45,6610,6826,-0.001510574,-0.000292912,-0.001217662
2014/01/28-09:50,6614,6830,0.000605144,0.000585995,1.91E-05
2014/01/28-09:55,6614,6824,0,-0.000878477,0.000878477
2014/01/28-10:00,6612,6828,-0.000302389,0.000586166,-0.000888555
2014/01/28-10:05,6608,6830,-0.000604961,0.000292912,-0.000897872
2014/01/28-10:10,6608,6828,0,-0.000292826,0.000292826
2014/01/28-10:15,6608,6828,0,0,0
2014/01/28-10:35,6610,6822,0.000302663,-0.000878735,0.001181398
2014/01/28-10:40,6618,6822,0.001210287,0,0.001210287
2014/01/28-10:45,6614,6830,-0.000604412,0.001172677,-0.001777089
2014/01/28-10:50,6616,6834,0.000302389,0.000585652,-0.000283263
2014/01/28-10:55,6618,6832,0.000302297,-0.000292654,0.000594952
2014/01/28-11:00,6614,6830,-0.000604412,-0.00029274,-0.000311672
2014/01/28-11:05,6612,6832,-0.000302389,0.000292826,-0.000595215
2014/01/28-11:10,6612,6828,0,-0.00058548,0.00058548
2014/01/28-11:15,6614,6824,0.00030248,-0.000585823,0.000888303
2014/01/28-11:20,6612,6824,-0.000302389,0,-0.000302389
2014/01/28-11:25,6606,6822,-0.000907441,-0.000293083,-0.000614358
2014/01/28-11:30,6604,6822,-0.000302755,0,-0.000302755
2014/01/28-13:35,6610,6826,0.00090854,0.000586338,0.000322202
2014/01/28-13:40,6612,6822,0.000302572,-0.000585995,0.000888567
2014/01/28-13:45,6612,6820,0,-0.000293169,0.000293169
2014/01/28-13:50,6610,6818,-0.00030248,-0.000293255,-9.23E-06
2014/01/28-13:55,6608,6824,-0.000302572,0.000880023,-0.001182595
2014/01/28-14:00,6602,6828,-0.00090799,0.000586166,-0.001494157
2014/01/28-14:05,6612,6828,0.001514693,0,0.001514693
2014/01/28-14:10,6610,6820,-0.00030248,-0.001171646,0.000869166
2014/01/28-14:15,6602,6820,-0.001210287,0,-0.001210287
2014/01/28-14:20,6610,6824,0.001211754,0.00058651,0.000625244
2014/01/28-14:25,6610,6822,0,-0.000293083,0.000293083
2014/01/28-14:30,6608,6814,-0.000302572,-0.001172677,0.000870105
2014/01/28-14:35,6608,6808,0,-0.00088054,0.00088054
2014/01/28-14:40,6600,6818,-0.001210654,0.00146886,-0.002679514
