day,count,dkim,pass_vs_block,pass_vs_maybe,percent_spam,recipients,sanitation_checks,size,spamscore,timing
08-31,7856,0.858424507658643,0.00418021365536461,0.116240725474031,0.00190114068441065,1.06990166737922,11.5907384230288,37530.095086558,-0.965539215686272,1827.53793279022
09-01,5538,0.856013672292245,0.0033303730017762,0.110736925515055,0.00280583613916947,1.10334849111203,11.1666666666667,72267.9348140123,-1.40728911564626,2185.6572769953
09-02,4657,0.848551120831055,0.00338696020321761,0.124907063197026,0.00286091549295775,1.08267212695163,11.5915953699044,56705.5155679622,-1.21239280322094,1882.54262400687
09-03,2500,0.831211692597831,0.0087719298245614,0.233031674208145,0.00669176076955249,1.04256292906178,13.1722445336903,48698.3588,1.31546586345382,1610.9164
09-04,2304,0.803777544596013,0.00583657587548638,0.218255991840898,0.00404131118096093,1.06272129489125,12.3599412340842,60471.7013888889,0.47369833496572,1659.58159722222
09-05,3278,0.853949329359165,0.00236873272799053,0.122264675234456,0.00190779014308426,1.07294199374783,11.7830092118731,62116.1308724832,-1.16365847833504,1890.23398413667
09-06,5412,0.857045763479837,0.00354191263282172,0.103843703546401,0.00283714772082466,1.06847826086957,11.463681165631,62199.4935328899,-1.42112341975573,2338.35661492979
09-07,5433,0.860916316035531,0.00273286267365065,0.09149377593361,0.00228702115494568,1.09171466548516,11.4114594594595,59204.9687097368,-1.68549156574395,1978.34879440456
09-08,6081,0.846487424111015,0.00525040387722132,0.0877777777777778,0.00438670490973511,1.08596214511041,11.4655674102813,64598.5293537247,-1.4836816065192,2231.42969906265
09-09,5139,0.805562047207291,0.00560652395514781,0.141851770398065,0.00446519180028415,1.15023793337865,11.715634606939,230511.395018486,-0.609872200263506,2008.66082895505
09-14,4988,0.867980295566502,0.00824628916987356,0.102264244837024,0.00701040253279059,1.05934939160665,12.2738475581926,91295.0781876504,0.847133957097218,1962.41519647153
09-15,6579,0.838709677419355,0.00574123436538856,0.105680560678716,0.00494967827091239,1.09221014492754,12.3783968552384,47344.8007295942,1.05061596308323,2263.3488372093
09-16,5707,0.849924585218703,0.00549450549450549,0.0944340212632895,0.00443951165371809,1.09118023008095,11.9104385423101,56712.5496758367,0.0513164504838394,1934.40091116173
09-17,3009,0.819950124688279,0.0110876451953537,0.209037162162162,0.00885296381832179,1.04028347631481,14.140144977563,51189.679295447,5.06207801173628,1614.87238285145
09-18,3167,0.849481748535376,0.00167014613778706,0.12256880733945,0.00133067198935462,1.057595670661,11.4758463294028,29519.7461319861,-0.601142313546421,1466.5383643827
09-19,6940,0.876425156307466,0.00306748466257669,0.0697087051692204,0.00255331931510964,1.15647612156295,10.5325174825175,47495.7703170029,-2.10162937062936,2315.2211815562
09-20,6884,0.860600858369099,0.00283637652898422,0.0978348035284683,0.00252525252525253,1.11331058020478,11.095606800202,58013.0676932016,-1.6519543847837,2052.34311446833
09-21,6134,0.845013203331302,0.005,0.104276069017254,0.00400868548521797,1.10610806577917,11.2854941244462,61639.2821975872,-1.24940319784243,1905.04466905771
09-22,7119,0.863383931877083,0.00350812407680945,0.0977933801404213,0.00255716004813478,1.09375,11.4747205960617,56016.3841831718,-1.31718804328544,1964.35426323922
09-23,5869,0.844252163164401,0.0045016077170418,0.111876075731497,0.00367325520377821,1.09915655214976,11.8090340794515,66910.1325609133,-0.989007864488809,1757.39904583404
09-24,3342,0.809109730848861,0.00351339481774264,0.158382789317507,0.00262209111766634,1.0570315267446,13.1106224627876,42686.460203471,2.39123240866039,1504.60861759425
09-28,6652,0.874268487320447,0.00282379518072289,0.0889232886136911,0.00235367958575239,1.14170485792851,11.1378763866878,65949.9998496693,-1.77987284255018,2068.8785327721
09-29,6582,0.865504587155963,0.00333827893175074,0.0940660822656777,0.00279156327543424,1.07821531791908,11.4030539772727,73521.2277423276,-1.30743057528412,2136.22683075053
09-30,6098,0.843809163195759,0.00407026563838903,0.123491704374057,0.00338638672536404,1.12953876349362,11.3305327477563,48119.3378156773,-1.12889667685257,1862.39734339128
10-01,3066,0.846647932557206,0.00402144772117962,0.152471482889734,0.00302724520686176,1.07763615295481,11.6795454545455,68824.233529028,-0.305873815839333,1524.98532289628
10-02,2987,0.856016597510373,0.0054127198917456,0.121863799283154,0.00416233090530697,1.06186406186406,11.7541899441341,72317.6173418145,-0.611584996009576,1534.23937060596
10-03,6198,0.877234803337306,0.00357355568790947,0.080432392817882,0.00298656047784968,1.15948777648428,10.5467598715284,56990.5077444337,-1.86065570672713,1886.37011939335
10-04,7299,0.872962338392355,0.00782890968111514,0.118275920583743,0.00672268907563025,1.11226140407635,13.2255035589883,53606.3538840937,2.88187973341412,2317.63282641458
10-05,7266,0.855281941470378,0.00592507645259939,0.112002731773946,0.00503048780487805,1.11851851851852,12.8489086996619,98383.5743187448,2.04214863203202,2131.18799889898
10-06,7286,0.85408560311284,0.00502828409805154,0.118105849582173,0.0036368926389293,1.10494282552564,12.6852014780926,135832.28849849,1.03891870490936,2140.4468844359
10-07,5966,0.848362494392104,0.00853658536585366,0.128990786372402,0.00694698354661792,1.17920628358826,13.2297087378641,61688.0460945357,2.38556291262136,1771.04056319142
10-08,5329,0.81795195954488,0.012326656394453,0.199417152373022,0.00505254648342765,1.04116133774348,14.3972835314092,79633.3951960968,4.6706872665535,1486.01144680053
10-09,4478,0.844807003581377,0.00802644003777148,0.196558317399618,0.00467749876907927,1.05866395388267,14.3535636476813,54113.4363555159,4.73208061002183,1424.14493077267
10-10,7255,0.8320962888666,0.00630772696553278,0.13662164807203,0.00458851391355832,1.14195281028199,12.8820457410409,47399.2270158511,1.59157752566183,1730.59228118539
10-11,8344,0.868179151183258,0.00540958268933539,0.100314575323314,0.00335374744823564,1.12316076294278,12.5139130434783,51388.3922579099,0.883227826086952,1976.02325023969
10-12,8095,0.832091016084739,0.00567942785023138,0.118754660700969,0.003933910306845,1.13895338453295,12.8638630319149,54175.5323038913,2.05226429521281,1775.71575046325
10-13,7651,0.844245628304189,0.00911300121506683,0.10613810741688,0.00666900666900667,1.11012833853625,13.4079012345679,57109.4879100771,2.9696862551441,1825.07920533264
10-14,7259,0.838019303399077,0.0161363636363636,0.146490536277603,0.0113828641747423,1.11191268960414,13.3227987155653,61309.287642926,3.22688017576482,2160.27235156358
10-15,3283,0.850651916238641,0.0138269402319358,0.178066914498141,0.0111498257839721,1.04836557705137,14.0661157024793,73900.0097471825,4.63968748086934,1704.0447761194
10-16,3520,0.853433835845896,0.00932918702798756,0.15785498489426,0.00739787713091026,1.07642442852269,13.6431509016134,50066.6440340909,3.92932742802915,1595.68323863636
10-17,6343,0.861075544174136,0.00798274002157497,0.126353790613718,0.00682892663281387,1.10838969109852,13.0269481634054,48117.8897997793,2.56756625472025,1981.95301907615
10-18,6639,0.842679127725857,0.00530828909759085,0.114825581395349,0.00472774698402348,1.10205515545407,12.6711140760507,53979.2507907817,1.50649866577725,2386.87889742431
10-19,7459,0.8627665390924,0.00296901094822787,0.10390260173449,0.00276605037123308,1.11822498771901,12.3221822729404,64630.8228985119,0.87376317023603,2247.713366403
10-20,6569,0.857801845166466,0.00350298784257161,0.0991058122205663,0.00294261893084846,1.10911781024598,12.5528268551237,82383.792053585,0.914457773851586,2506.95935454407
10-21,6825,0.850524648584439,0.00546209307406598,0.128637059724349,0.00416533162447933,1.15578269922393,12.1664910432034,62658.8348717949,1.24257411310149,2109.68454212454
10-22,4027,0.853062758361518,0.0080168776371308,0.188190607734807,0.0065845977669625,1.03753026634383,14.1818684355998,40496.3625527688,5.1570030403538,1622.07226222995
10-23,3464,0.866175329712956,0.0066006600660066,0.159511343804538,0.00583846902367824,1.07674183776506,13.5388455538222,52328.7684757506,3.79945709828396,1573.17465357968
10-24,10735,0.915600176522507,0.00248953264682585,0.0628322347437806,0.00384537543007488,1.14361986118526,12.672123015873,58055.2861667443,2.26212996031752,1828.3361900326
10-25,9528,0.918380545854353,0.00390370852309694,0.0683947912863575,0.00238853503184713,1.10988213961922,12.8285474391268,45012.7901973132,2.28226078925281,2314.3537993283
10-26,10363,0.887568756875688,0.00340136054421769,0.0588170137350465,0.00267965895249696,1.13392038158136,12.02368245497,41171.7492038985,0.795322881921278,1870.06262665251
10-27,10459,0.902704601334738,0.00383233532934132,0.0741317898486198,0.00337481543978064,1.12020673557853,12.4078461538462,45809.0483793862,1.64610646153853,2512.46581891194
10-28,6249,0.865506653019447,0.00561191452622491,0.11522949875168,0.00463997250386664,1.13056133056133,12.6319636507309,71057.2576412226,1.22567621493481,1771.1718674988
10-29,11282,0.949203373945642,0.00471698113207547,0.0696649029982363,0.00484261501210654,1.04029432375613,13.1854628422425,27876.8723630562,2.85262581486309,1233.98218400993
11-02,1221,0.902465166130761,0.00319829424307036,0.0922330097087379,0.00347523892267593,1.08904810644831,12.2559523809524,103623.346437346,0.350467261904762,1625.21949221949
11-03,6610,0.866901147723065,0.00412411626080126,0.107218309859155,0.00367588301102765,1.07634124890062,12.3785569105691,46260.5546142209,0.265572831978323,2026.61406959153
11-04,5617,0.860587965089573,0.00597228858098423,0.122151898734177,0.00531208499335989,1.09714758164531,12.2728712871287,45820.7269004807,0.476426534653467,1831.20829624355
11-05,3715,0.882775119617225,0.00780287474332649,0.172885997945909,0.00620384047267356,1.05040387722132,13.0752752157096,42363.5079407806,2.52786283844096,1617.67240915209
11-06,4093,0.853813559322034,0.0145669291338583,0.221461897356143,0.0115996762881036,1.04693348689893,13.978349120433,57570.2533593941,4.05672611637352,1625.84998778402
11-07,6802,0.865848909657321,0.00729495268138801,0.0966989594546107,0.00596581747823283,1.10879041046131,11.8735926305015,73671.6443693031,0.20165728420333,1843.91120258747
11-08,6005,0.861663652802893,0.00912825193975354,0.112428454619787,0.00719424460431655,1.11674098094852,12.3345878810689,57972.7428809326,0.805015242754985,1944.42481265612
11-09,6277,0.828462770216173,0.00867724867724868,0.112374455182869,0.00708860759493671,1.08558052434457,11.950944062114,46045.8359088737,-0.107755426151409,1896.28102596782
11-10,6951,0.839932445111653,0.00791200308761096,0.107620204825551,0.00648949320148331,1.10006865774116,12.7428757531347,60442.9158394476,1.40165477935195,1910.03049920875
11-11,5413,0.828735632183908,0.0108366935483871,0.126029837452683,0.00897487036298365,1.10259712384632,13.0317364059026,67419.4784777388,1.97312977562164,1855.67818215407
11-12,3406,0.795575896262395,0.017584451642758,0.202479338842975,0.0129010916308303,1.05927921859212,13.8354591836735,93841.4559600705,3.65653985969393,1685.38667058133
11-13,3465,0.842280482729921,0.0124677558039553,0.146731054977712,0.0098135426889107,1.05331556147951,13.1330749354005,50952.7916305916,2.36755232558138,1659.34920634921
11-14,6525,0.820405043943447,0.00712638859777824,0.120824053452116,0.00586461126005362,1.18684931506849,12.1495145631068,55384.5601532567,0.529929390997358,1779.95570881226
11-15,11681,0.853411513859275,0.0111940298507463,0.0954087728281277,0.00620067643742954,1.0750348189415,11.8415774264831,34491.5773478298,-0.789620941696419,1608.17352966356
11-16,6875,0.869532428355958,0.0124432154848904,0.130283527570012,0.00975451146155097,1.0941564071441,12.1612204068023,51016.176,0.503729076358785,1582.62996363636
11-17,6128,0.833866453418633,0.010219612959339,0.0980780661779275,0.00833188682520396,1.11655575720911,11.8884063444109,79255.4136749347,-0.419753209969793,1417.67526109661
11-18,4088,0.862871927554981,0.0172248803827751,0.0948883666274971,0.013489882588059,1.08848446815187,11.4533859702399,57926.405332681,-1.24002672335258,1304.47480430528
11-19,3366,0.7817843866171,0.0385144429160935,0.181179226864506,0.0255164034021871,1.04093567251462,12.7640857869866,42123.1874628639,0.794683024354781,1285.23054070113
